Complexity,Loss,Equation
1,0.0066127395,"-1.0377085e-5"
3,0.0025949455,"(-0.594999 * x2)"
5,0.0010617352,"((x0 * 0.00068313244) - x2)"
7,0.0009474426,"(((x0 * 0.00067574845) - x2) * 0.8749697)"
9,0.00094654073,"((((x0 * 0.00067574845) - x1) - x2) * 0.8749697)"
11,0.0009465364,"(((((x2 - x0) * -0.00067569443) - x1) - x2) * 0.8749619)"
13,0.000946527,"(((((x0 + (x2 * x2)) * 0.00067574845) - x2) - x1) * 0.8749697)"
15,0.0009464068,"(((((x0 + (x2 * (x2 * x2))) * 0.00067574845) - x2) - x1) * 0.8749697)"
17,0.0009462735,"(((((x0 + (x2 * ((x2 + x2) * x2))) * 0.00067574845) - x2) - x1) * 0.8749697)"
19,0.0009347286,"((((-0.00067569443 - (x0 - -0.00067569443)) * -0.00067569443) - (x2 + (((x2 * -0.20411201) * x2) * x2))) * 0.8749619)"
