Complexity,Loss,Equation
1,0.00609002,"3.33766e-6"
3,0.0026222784,"(-0.5527406 * x2)"
5,0.0008928404,"((0.00074147346 * x0) - x2)"
7,0.00073373504,"(((x0 * 0.0007416476) - x2) * 0.85298824)"
9,0.0007327159,"((((0.0007418949 * x0) - x1) - x2) * 0.8531521)"
11,0.0007327085,"((((x0 * 0.0007416476) - x2) - x1) * (0.85298824 + x1))"
13,0.0007327006,"((((x0 * 0.0007416476) - x2) - x1) * (0.85298824 + (x1 + x1)))"
15,0.00069338595,"((((0.0007417481 * x0) - x2) - x1) * (0.85287595 + (-0.39648882 * (x2 * x2))))"
19,0.0006620967,"((((0.0007417481 * x0) - x2) - x1) * (0.91696274 + (((0.0007417481 + x1) + -0.39648882) * (x2 * x2))))"
