Complexity,Loss,Equation
1,0.0051419656,"-8.07729e-5"
3,0.00509866,"(x0 * -0.030071344)"
5,0.005098652,"(-9.48581e-5 + (x0 * -0.03006693))"
7,0.0050986437,"((x0 * -0.030071344) + (-8.07729e-5 * x3))"
9,0.0050931154,"((1.0877427 - (x0 * x3)) * (x0 * -0.032170005))"
11,0.0050910246,"((1.0877427 - (x0 * (x3 + x0))) * (x0 * -0.032170005))"
15,0.0050904523,"(((((x0 + x0) * ((x0 + -0.3723482) * x3)) - x0) * -0.032170005) * -0.81907785)"
17,0.0050899815,"(((((x0 + x0) * (((x0 * 0.7500404) + -0.3723482) * x3)) - x0) * -0.032170005) * -0.81907785)"
19,0.0050867843,"((((((x0 + 0.46965146) + x0) * (((x4 + x0) + -0.3723482) * x3)) - x0) * -0.032170005) * -0.81907785)"
