Complexity,Loss,Equation
1,0.00609002,"-1.5670408e-5"
3,0.0026222784,"(-0.5527406 * x2)"
5,0.002622268,"((-0.5527406 - x1) * x2)"
7,0.0007337351,"((-0.8529549 * x2) - (-0.0006325947 * x0))"
9,0.000732716,"((-0.8531645 * (x2 + x1)) - (-0.00063300243 * x0))"
11,0.0007327145,"(((-0.8531645 - x1) * (x2 + x1)) - (-0.00063300243 * x0))"
13,0.0007327088,"((-0.8529295 * x2) - ((-0.00063248735 * x0) - (x1 * (-0.8996748 - x2))))"
15,0.00070584076,"((x2 * (((0.1436885 * x2) * x2) - 0.8530084)) - ((0.06840672 * x0) * -0.009247558))"
17,0.0007056745,"((x2 * (((0.1436885 * (0.06840672 + x2)) * x2) - 0.8530084)) - ((0.06840672 * x0) * -0.009247558))"
19,0.00070480496,"((x2 * (((((x1 - x2) * x2) * -0.16383892) - x1) - 0.8530084)) - ((0.06840672 * x0) * -0.009247558))"
