Complexity,Loss,Equation
1,0.056167115,"5.8799195e-8"
3,0.031701893,"-0.76594615 * x2"
5,0.02294025,"(0.0006740407 * x0) - x2"
7,0.022099894,"((0.0006740407 * x0) - x2) * 0.8740576"
