Complexity,Loss,Equation
1,0.0034632261,"-0.00036093622"
3,0.0034374367,"(x0 * -0.020660115)"
5,0.003435703,"((x3 + x0) * -0.015235066)"
7,0.0034309146,"(-0.02095235 * ((x2 * x3) + x0))"
9,0.0034307218,"((x0 - ((-0.021683298 - x3) * x2)) * -0.021683298)"
11,0.0034096688,"((x0 - (((x3 * x3) - 0.8627038) * x3)) * -0.021683298)"
13,0.003403163,"((x0 - ((((x3 + x3) * x3) - 1.561541) * x3)) * -0.021683298)"
15,0.0034006964,"((x0 - (((((x3 + x3) * x3) - 0.876657) - x2) * x3)) * -0.021683298)"
19,0.0034003393,"((x0 - (((((x3 - x2) + (x3 - -0.6897288)) * x3) - (0.876657 * 1.561541)) * x3)) * -0.021683298)"
