Complexity,Loss,Equation
1,0.004643952,"-4.844105e-7"
5,0.0046439515,"(x1 - (x1 - -2.5771537e-6))"
7,0.0046439506,"(x1 - ((x1 - -2.5771537e-6) - -2.5771537e-6))"
9,0.0046439497,"((x1 - ((x1 + -0.034771014) + -0.03477103)) + -0.06954181)"
11,0.0046439487,"(x1 - ((((x1 - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6))"
13,0.004643948,"(x1 - (((((x1 - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6))"
17,0.0046439464,"(x1 - (((((((x1 - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6) - -2.5771537e-6))"
