Complexity,Loss,Equation
1,0.0066127395,"1.9973807e-8"
3,0.0025949455,"(-0.59495443 * x2)"
5,0.0010617351,"((0.0006831281 * x0) - x2)"
7,0.0009474376,"((0.0005908741 * x0) - (x2 * 0.8754187))"
9,0.0009465371,"((((0.00067498116 * x0) - x1) - x2) * 0.87539715)"
11,0.00094653125,"((((0.00067498116 * x0) - x1) - x2) * (0.87539715 + x1))"
13,0.0009322161,"(((0.0006749756 * x0) - x2) * (0.8753753 + ((x2 * x2) * -0.0917904)))"
15,0.00092772784,"(((0.0006749756 * x0) - x2) * (0.8753753 + ((x2 * x2) * (0.62111384 - 0.76561034))))"
17,0.00092693925,"((((0.0006749756 * x0) - x1) - x2) * (0.8753753 + ((x2 * (0.2767394 * x2)) * -0.5150068)))"
19,0.00092555763,"((((0.0006749756 * x0) - x2) - x1) * (0.8753753 + ((x2 * x2) * ((0.4119582 - x1) - 0.62111384))))"
