Complexity,Loss,Equation
1,0.0066127395,"-1.0331944e-5"
3,0.0025949455,"(-0.59498435 * x2)"
5,0.0010617352,"((0.00068312365 * x0) - x2)"
7,0.0009474375,"(((0.00067497493 * x0) - x2) * 0.875397)"
9,0.00094653666,"(((0.00067528844 * x0) - (x2 + x1)) * 0.87558794)"
11,0.0009465306,"(((0.000675179 * x0) - (x2 + x1)) * (0.87556756 + x1))"
13,0.0009465229,"(((0.000675179 * (x0 + (x2 * x2))) - (x2 + x1)) * 0.87556756)"
15,0.0009389728,"((((0.000675179 * x0) - ((x2 * (x2 * x2)) * -0.35894322)) - x2) * 0.93650854)"
17,0.0009364821,"((((0.000675179 * x0) - (((x2 + x2) * (x2 * -0.110616036)) * x2)) - x2) * 0.95296717)"
19,0.00093648164,"((((0.000675179 * x0) - ((((x2 + x1) + x2) * (x2 * -0.110616036)) * x2)) - x2) * 0.95296717)"
