Complexity,Loss,Equation
1,0.0051419656,"-8.880476e-5"
3,0.00509866,"(x0 * -0.030067692)"
5,0.0050986595,"(x0 * (-0.030219622 - x4))"
7,0.005096662,"((-0.01491245 * (x3 - -2.1071784)) * x0)"
9,0.0050920164,"((-0.027671829 * x0) * (1.0867375 - (x3 * x0)))"
11,0.0050902534,"((-0.027671829 * x0) * (1.0867375 - (x3 * (x0 + -0.40649095))))"
13,0.0050896383,"((-0.026821112 * x0) * (1.0867172 - (x3 * (-0.30709833 + (x0 * 1.6050915)))))"
17,0.0050845877,"(x0 * (((((x2 - 0.7699686) * -0.35299674) * 0.7699686) * ((-0.35299674 - -0.031306554) + x2)) + -0.031306554))"
19,0.005084451,"(x0 * ((((((x2 - 0.7699686) + 0.024922911) * -0.35299674) * 0.7699686) * ((-0.35299674 - -0.050690033) + x2)) + -0.031306554))"
