Complexity,Loss,Equation
1,0.004643952,"1.1904599e-6"
3,0.00462395,"(-0.0001552493 * x3)"
5,0.0046236515,"(-0.00015651842 * (x3 - x1))"
7,0.004613188,"((0.02793782 * (x4 * x1)) * x4)"
9,0.0046130535,"((0.08237223 * 0.33116522) * ((x1 * x4) * x4))"
11,0.004605028,"((0.011252274 * x4) * ((x1 - (x4 - x1)) * x4))"
13,0.004595826,"((0.011252274 * x4) * ((x1 - ((x4 * 0.7511661) - x1)) * x4))"
15,0.00459513,"((((-0.42927074 * x4) * (((-0.78946805 + -0.78946805) * x1) - -0.67499113)) * x4) * 0.07610318)"
17,0.0045895507,"(((0.011252274 * 0.8620339) * x4) * (((x1 + x1) - ((x4 + 0.7511661) - x1)) * x4))"
