Complexity,Loss,Equation
1,0.004643952,"2.7879944e-6"
3,0.00462395,"(x1 * -0.0001552491)"
5,0.004616784,"((x2 * 0.020352881) - 0.01016228)"
9,0.004615204,"((((-0.043667536 * x1) + x2) - 0.5468308) * 0.0047602938)"
11,0.0046070763,"(((((-0.043667536 * x1) + x2) + x2) - 0.9538538) * 0.0047602938)"
17,0.0045997086,"(((((x2 + x2) + x2) - ((0.0047602938 * 3.0933688) * (x1 + x1))) + -1.4454554) * 0.0047602938)"
19,0.0045996984,"(((((x2 + (x2 - 0.0047602938)) + x2) - ((0.0047602938 * 3.0933688) * (x1 + x1))) + -1.4454554) * 0.0047602938)"
