Complexity,Loss,Equation
1,0.0066127395,"-8.428129e-6"
3,0.0025949455,"(x2 * -0.59495676)"
5,0.0010617352,"((x0 * 0.0006831323) - x2)"
7,0.0009474375,"(((x0 * 0.00067497476) - x2) * 0.8753964)"
9,0.0009465366,"((((x0 * 0.00067524216) - x2) - x1) * 0.875553)"
11,0.0009465308,"((((x0 * 0.00067524216) - x2) - x1) * (0.875553 + x1))"
13,0.0009465248,"((((x0 * 0.00067524216) - x1) - x2) * ((0.875553 + x1) + x1))"
15,0.00094648,"((((x0 * 0.00067524216) - x2) - x1) * (0.875553 - ((x1 * x0) * 0.24851169)))"
17,0.0009462631,"((((x0 * 0.00067524216) - x2) - x1) * (0.875553 - ((0.00067524216 * x0) * (0.24851169 * 0.21441594))))"
19,0.0009460615,"(((2.3767274e-5 * (((x0 + x2) * (12.668666 + 12.19247)) + (x2 * x0))) - (x2 * 0.87540174)) - x1)"
