Complexity,Loss,Equation
1,0.00661274,"-6.5578542e-6"
3,0.0025949455,"(x2 * -0.59495795)"
5,0.0010617352,"((x0 * 0.00068304734) - x2)"
7,0.0009474375,"(((x0 * 0.00067502365) - x2) * 0.87539744)"
9,0.0009465365,"((((x0 * 0.0006752411) - x1) - x2) * 0.8755512)"
11,0.0009465307,"((((x0 * 0.0006752411) - x1) - x2) * (0.8755512 + x1))"
13,0.0009465249,"((((x0 * 0.0006752411) - x1) - x2) * ((0.8755512 + x1) + x1))"
15,0.00094639056,"((((x0 * 0.0006752411) - x1) - x2) * (0.8753944 - ((x2 * x2) * 0.00067494233)))"
17,0.000926262,"((((x0 * 0.00067494233) - x2) - x1) * (0.8753944 - ((x2 * x2) * (0.00067494233 - -0.15505204))))"
