Complexity,Loss,Equation
1,0.00661274,"-8.207957e-6"
3,0.0025949455,"(x2 * -0.59492654)"
5,0.0010617352,"((x0 * 0.0006831325) - x2)"
7,0.0009474375,"(((x0 * 0.0006749763) - x2) * 0.8753968)"
9,0.0009465365,"((((x0 * 0.0006752403) - x1) - x2) * 0.8755499)"
11,0.0009465307,"((((x0 * 0.0006752403) - x1) - x2) * (0.8755499 + x1))"
13,0.000927182,"(((0.0006831325 * x0) - x2) * (0.8760255 - ((x2 * x2) * 0.17660572)))"
15,0.000926287,"((((0.0006831325 * x0) - x2) * (0.8760255 - ((x2 * x2) * 0.17660572))) - x1)"
17,0.0009233576,"(((((0.0006831325 * x0) - x2) * (0.8760255 - ((x2 * x2) * 0.17660572))) * 0.9404129) * 1.0761756)"
