Complexity,Loss,Equation
1,0.0066127395,"-1.0220163e-5"
3,0.0025949455,"(x2 * -0.59492934)"
5,0.0010617352,"((0.00068316434 * x0) - x2)"
7,0.00094781147,"(((0.00068316434 * x0) - x2) * 0.87541306)"
9,0.0009468877,"((((0.00068316434 * x0) - x1) - x2) * 0.87541306)"
11,0.0009465371,"(((((x0 * 0.5638307) * 0.0011971195) - x1) - x2) * 0.87541306)"
13,0.0009465311,"(((((x0 * 0.5638307) * 0.0011971195) - x1) - x2) * (0.87541306 + x1))"
15,0.0009465234,"((((((x0 + (x2 * x2)) * 0.5638307) * 0.0011971195) - x1) - x2) * 0.87541306)"
17,0.0009464965,"((((((x0 + ((x2 * x2) * 3.3631907)) * 0.5638307) * 0.0011971195) - x1) - x2) * 0.87541306)"
19,0.0009463959,"((((((x0 + (x2 * (x2 * x2))) * 0.5638307) * 0.0011971195) - x1) - x2) * (0.87541306 + x1))"
