Complexity,Loss,Equation
1,0.0066127395,"-7.8847725e-6"
3,0.0025949457,"(x2 * -0.59495384)"
5,0.0010617352,"((x0 * 0.0006831324) - x2)"
7,0.0009474375,"(((0.0006749749 * x0) - x2) * 0.87539387)"
9,0.0009465365,"(((0.00067524065 * x0) - (x2 + x1)) * 0.875551)"
11,0.0009465307,"(((0.00067524065 * x0) - (x2 + x1)) * (0.875551 + x1))"
13,0.0009465249,"(((0.00067524065 * x0) - (x2 + x1)) * (0.875551 + (x1 + x1)))"
15,0.0009461464,"(((0.0005902774 * (x0 + ((0.023339838 * x0) * x2))) - (x2 * 0.87491924)) - x1)"
17,0.00094603235,"(((0.0006749749 * (x0 + ((x1 + x2) * (0.044660505 * x0)))) - (x2 + x1)) * 0.87539387)"
19,0.00094603223,"(((0.0006749749 * (x0 + ((x1 + x2) * (0.044660505 * (x0 - 0.0075303))))) - (x2 + x1)) * 0.87539387)"
