Complexity,Loss,Equation
1,0.0066127395,"-8.428129e-6"
3,0.0025949455,"(x2 * -0.59495676)"
5,0.0010617352,"((0.0006831323 * x0) - x2)"
7,0.0009474375,"(((0.0006749719 * x0) - x2) * 0.8753915)"
9,0.0009465365,"(((0.0006752409 * x0) - (x1 + x2)) * 0.8755421)"
11,0.0009465307,"(((0.0006752409 * x0) - (x1 + x2)) * (0.8755421 + x1))"
13,0.0009465234,"((((0.0006749719 * (x0 + (x2 * x2))) - x1) - x2) * 0.8753915)"
15,0.0009464354,"((((0.00067497505 * (x0 + (x2 * (x2 * x2)))) - x2) * 0.87539655) - x1)"
17,0.00094624923,"((((0.00067497505 * (x0 + ((x2 * 2.3845963) * (x2 * x2)))) - x2) * 0.87539655) - x1)"
19,0.00094602426,"(((0.0006749719 * (x0 - ((x0 * (x1 + -0.0397909)) * (x1 + x2)))) - (x2 + x1)) * 0.8755513)"
