Complexity,Loss,Equation
1,0.016543552,"-0.0002875307"
3,0.014445905,"(-0.31435 * x2)"
5,0.0144457845,"((x2 * -0.31428224) - 0.0003454859)"
7,0.014168637,"(((0.00058651785 * x0) - x2) * 0.36902413)"
9,0.014168506,"(((0.00058651785 * (-1.5057253 + x0)) - x2) * 0.36902413)"
11,0.014168483,"(((0.00058651785 * (-1.5057253 + (x0 - x1))) - x2) * 0.36902413)"
13,0.014168482,"(((0.00058651785 * (x0 + ((-1.5057253 + -0.27764183) - x1))) - x2) * 0.36902413)"
15,0.014168458,"(((0.00058651785 * ((-0.9420005 - ((x1 - -0.4703587) * 2.6247559)) + x0)) - x2) * 0.36902413)"
17,0.01416844,"(((0.00058651785 * (x0 + (((-1.5057253 + -0.0002875307) - (x1 + x1)) - x1))) - x2) * 0.36902413)"
19,0.014168421,"(((0.00058651785 * (x0 + ((((-1.5057253 - x1) + -0.0002875307) - (x1 + x1)) - x1))) - x2) * 0.36902413)"
