Complexity,Loss,Equation
1,0.016628621,"6.871879e-5"
3,0.0144878505,"(-0.31575936 * x2)"
5,0.014487814,"(0.00019449083 - (0.31583202 * x2))"
7,0.014255009,"((0.00019449083 * x0) - (0.31583202 * x2))"
9,0.014199806,"(((0.00037058006 * x0) - (0.61225057 * x2)) * 0.61225057)"
11,0.014199623,"((((x0 * 0.00037058006) - (0.6122491 * x2)) * 0.61225057) * 0.99107397)"
13,0.014199534,"(((((0.99107397 * x0) * 0.00037058006) - (0.6122491 * x2)) * 0.61225057) * 0.99107397)"
17,0.014190975,"((((0.00037058006 - ((x2 - 0.61225057) * (x2 * 0.00017472553))) * x0) - (0.61225057 * x2)) * 0.61225057)"
19,0.01419081,"((((0.00037058006 - ((x2 - 0.61225057) * (x2 * 0.00017472553))) * (x0 + x2)) - (0.61225057 * x2)) * 0.61225057)"
