Complexity,Loss,Equation
1,0.04575065,"x1"
2,0.03977665,"abs(x1)"
4,0.035280496,"(abs(x1) * 0.88831246)"
5,0.02544847,"sqrt(abs(x1 / 1.7186749))"
7,0.025313979,"(sqrt(abs(x1 + x11)) / 1.3109801)"
8,0.015472466,"((square(x5) + x1) / exp(abs(x5)))"
9,0.01460026,"((abs(x5) + x1) / exp(sqrt(abs(x5))))"
10,0.014476426,"(abs(abs(x5) + x1) / exp(sqrt(abs(x5))))"
11,0.012920158,"((abs(x5) + x1) / exp(sqrt(abs(x5 / -0.8046053))))"
12,0.012213844,"sqrt((square(x5) + square(x1)) / sqrt(cube(exp(abs(x5)))))"
13,0.010765413,"(sqrt(abs(x5) + square(x1)) / exp(sqrt(abs(x5) * 0.63324887)))"
16,0.010753726,"sqrt(sqrt(abs((square(x5 / 1.8362799) + cube(x1)) / square(exp(sqrt(abs(x5)))))))"
17,0.010449909,"sqrt(sqrt(abs(square(abs(x5) + x11) + cube(x1)) / cube(exp(sqrt(abs(x5))))))"
18,0.010277599,"sqrt(sqrt(abs((square(x5 / -2.1359794) + cube(x1 + x11)) / square(exp(sqrt(abs(x5)))))))"
