Complexity,Loss,Equation
1,0.00609002,"-8.903109e-6"
3,0.00605222,"(-0.039767496 * x3)"
5,0.0049553644,"((-0.2493157 * x2) * x4)"
7,0.004954837,"((-0.24929762 * x2) * (x4 + -0.03186815))"
9,0.0048930426,"(((x1 - x5) * x3) - (x2 * x4))"
11,0.0030121016,"((((0.11694561 - x5) * x3) - (x2 * x4)) * 0.66539085)"
13,0.0027599472,"(((((0.11694561 * -0.6271837) - x5) * x3) - (x2 * x4)) * 0.66539085)"
15,0.0027599449,"(((((0.11694561 * -0.6271837) - x5) * x3) - (x2 * (x4 + x1))) * 0.66539085)"
17,0.002723872,"(((((0.11694561 * ((x4 * 0.11694561) + x5)) - x5) * x3) - (x2 * x4)) * 0.66539085)"
19,0.002600938,"((((((x1 - x5) + -0.053121638) * x3) - (x2 * x4)) * 0.55158013) - ((x2 * x0) * x1))"
