Complexity,Loss,Equation
1,0.0066127395,"-1.0341406e-5"
3,0.0025949455,"(-0.59492874 * x2)"
5,0.0010617352,"((x0 * 0.0006831323) - x2)"
7,0.00094743766,"(((0.0006749745 * x0) - x2) * 0.8753947)"
9,0.0009465372,"((((0.0006749745 * x0) - x2) - x1) * 0.8753947)"
11,0.0009465313,"((((0.0006749745 * x0) - x2) - x1) * (0.8753947 + x1))"
13,0.0009465154,"((((0.0006749745 * x0) - x2) - x1) * (0.8753947 - (-3.7558992 * x1)))"
15,0.0009465098,"((((0.0006749745 * x0) - x2) - x1) * (0.8753947 - ((-3.7558992 * x1) - x1)))"
17,0.00094640185,"((((0.0006749745 * ((x0 - x1) + ((x2 * x2) * x2))) - x2) - x1) * 0.8753947)"
