Complexity,Loss,Equation
1,0.00609002,"3.33766e-6"
3,0.0026222784,"(-0.5527409 * x2)"
5,0.0008928404,"((0.00074147293 * x0) - x2)"
7,0.000733735,"(((0.00074162666 * x0) - x2) * 0.852973)"
9,0.0007327159,"((((0.00074190425 * x0) - x2) - x1) * 0.8531505)"
11,0.00073270797,"((((0.0007419497 * x0) - x2) - x1) * (0.8531727 + x1))"
13,0.0007327,"((((0.0007419497 * x0) - x2) - x1) * ((0.8531727 + x1) + x1))"
15,0.0007326922,"((((0.0007419497 * x0) - x2) - x1) * (((0.8531727 + x1) + x1) + x1))"
17,0.00073268445,"((((0.0007419497 * x0) - x2) - x1) * (((0.8531727 + x1) + (x1 + x1)) + x1))"
19,0.0007325953,"((0.00063284434 * (x0 + ((0.8550272 * (x2 * (0.8550272 + x2))) * x2))) - ((x2 * 0.8550272) + x1))"
