Complexity,Loss,Equation
1,0.00661274,"-8.199226e-6"
3,0.0025949457,"(-0.5949516 * x2)"
5,0.0010617352,"((0.0006831331 * x0) - x2)"
7,0.0009474375,"(((0.0006749748 * x0) - x2) * 0.8753964)"
9,0.0009465364,"(((0.000675247 * x0) - (x2 + x1)) * 0.8755615)"
11,0.0009465306,"(((0.000675247 * x0) - (x2 + x1)) * (0.8755615 + x1))"
13,0.0009465234,"((((0.00067497644 * (x0 + (x2 * x2))) - x2) - x1) * 0.87540156)"
15,0.00094640185,"((((0.00067497644 * (x0 + (x2 * (x2 * x2)))) - x2) - x1) * 0.87540156)"
17,0.0009460925,"(((0.00067497644 * (x0 + ((x2 * (x2 - x0)) * -0.054053836))) - (x2 + x1)) * 0.87540156)"
19,0.00094599987,"((((0.00067497644 * (x0 + ((x2 * (x2 + x2)) * (x2 + x2)))) - x2) - x1) * 0.87540156)"
