Complexity,Loss,Equation
1,0.0066127395,"-8.428129e-6"
3,0.0025949457,"(x2 * -0.594951)"
5,0.0010617352,"((0.0006831627 * x0) - x2)"
7,0.0009474375,"(((0.00067498296 * x0) - x2) * 0.87544566)"
9,0.0009465364,"((((0.0006752406 * x0) - x1) - x2) * 0.87555087)"
11,0.0009465308,"(((0.0006752406 * x0) - (x2 + x1)) * (0.87544566 + x1))"
13,0.0009465247,"(((0.0006752406 * x0) - (x2 + x1)) * (0.87544566 + (x1 * 2.0536866)))"
15,0.0009465192,"((((0.0006752406 * x0) - x1) - x2) * (((0.87544566 + x1) + x1) + x1))"
17,0.0009368009,"(((0.0006831627 * x0) - x2) * (0.85866475 + ((x2 - -0.6542396) * ((-0.113553196 + x2) * -0.113553196))))"
