Complexity,Loss,Equation
1,0.01895002,"-1.3860675e-5"
3,0.0073184283,"(x2 * -0.6482769)"
5,0.0073184096,"((-0.648289 - x1) * x2)"
7,0.007307525,"(x2 * (-0.6479073 + (x0 * 7.713966e-5)))"
9,0.00610782,"(((x2 - x0) * -0.00037565705) - (x2 * 0.7534532))"
11,0.0061062314,"(((x2 - x0) * -0.00037565705) - ((x2 + x1) * 0.7534532))"
13,0.0061057047,"((((x2 * x2) - x0) * -0.00037565705) - ((x2 + x1) * 0.7534532))"
15,0.0060879034,"((((((x2 * 0.7534532) * x0) * x2) - x0) * -0.00037565705) - (x2 * 0.7534532))"
17,0.0060874713,"(((((((x2 * 0.7534532) * x0) + -0.7844728) * x2) - x0) * -0.00037565705) - (x2 * 0.7534532))"
