Complexity,Loss,Equation
1,0.0066127395,"-9.266603e-6"
3,0.0025949457,"(x2 * -0.59495157)"
5,0.0010617352,"((0.00068313227 * x0) - x2)"
7,0.0009478201,"(((0.00068302074 * x0) - x2) * 0.87755096)"
9,0.0009468924,"((((0.00068302074 * x0) - x1) - x2) * 0.87755096)"
11,0.0009465365,"((((-0.96067375 - -0.961349) * x0) - (x2 + x1)) * 0.875553)"
13,0.0009465307,"((((-0.96067375 - -0.961349) * x0) - (x2 + x1)) * (0.875553 + x1))"
15,0.0009311493,"((((-0.96067375 - -0.961349) * x0) - x2) * (0.875553 - (x2 * (0.28815123 * x2))))"
17,0.00091559434,"((((-0.96067375 - -0.961349) * x0) - x2) * ((0.729039 - (x2 * (0.28815123 * x2))) - -0.20865235))"
