Complexity,Loss,Equation
1,0.018950019,"-7.2416256e-6"
3,0.0073184283,"(x2 * -0.6483168)"
5,0.0073184096,"(x2 * (-0.64829004 - x1))"
7,0.0066293254,"(((-0.00037682577 * x0) + x2) * -0.8757614)"
9,0.006199739,"(((-0.00037682577 * x0) + x2) * (-0.36105356 + -0.3930663))"
11,0.006120672,"((((x0 * 1.4480157) * -0.00037682577) + x2) * (-0.36105356 + -0.3930663))"
13,0.0061078086,"((x1 - (-0.00037682577 * x0)) + ((x2 * (-0.36105356 + -0.3930663)) - x1))"
15,0.0061062044,"((x1 - (-0.00037682577 * x0)) + (((x1 + x2) * (-0.36105356 + -0.3930663)) - x1))"
17,0.006105953,"((x1 - (-0.00037682577 * x0)) + ((((x1 * 0.5461677) + x2) * (-0.36105356 + -0.3930663)) - x1))"
19,0.0061058663,"((x1 - (-0.00037682577 * x0)) + ((((x1 * (-0.00037682577 + 0.65156835)) + x2) * (-0.36105356 + -0.3930663)) - x1))"
