Complexity,Loss,Equation
1,0.016574716,"-0.00021237491"
3,0.014446049,"(-0.31543893 * x2)"
5,0.0144459875,"(-0.0002472513 + (x2 * -0.3154163))"
7,0.014163612,"((0.00021855925 * x0) + (x2 * -0.37052083))"
9,0.014163545,"(((x0 + -1.0826885) * 0.00021855925) + (x2 * -0.37052083))"
11,0.014161553,"(((0.00021855925 - (-2.736269e-5 * x2)) * x0) + (x2 * -0.37052083))"
13,0.014161034,"(((0.00021855925 - (-2.736269e-5 * (x2 + x2))) * x0) + (x2 * -0.37052083))"
15,0.014003405,"(((x0 + -0.050750766) * 0.00021855925) + ((((x2 * x2) * x2) + x2) * -0.37052083))"
