Complexity,Loss,Equation
1,0.0066127395,"-8.428129e-6"
3,0.0025949455,"(x2 * -0.59495443)"
5,0.0010617352,"((0.0006831323 * x0) - x2)"
7,0.0009474375,"(((0.0006749767 * x0) - x2) * 0.87539715)"
9,0.0009465365,"((((0.0006752361 * x0) - x2) - x1) * 0.87554014)"
11,0.0009465306,"((((0.0006752361 * x0) - x2) - x1) * (0.87554014 + x1))"
13,0.0009465249,"((((0.0006752361 * x0) - x2) - x1) * (0.87554014 + (x1 + x1)))"
15,0.0009146271,"(((0.0006749767 * x0) - x2) * (0.952595 + (((x2 * x2) - -0.13468155) * -0.28010508)))"
17,0.0009146263,"(((0.0006749767 * x0) - x2) * (0.952595 + ((((x2 + x1) * x2) - -0.13468155) * -0.28010508)))"
19,0.0009136684,"(((-0.13468155 * (-0.0050139 * x0)) - (x2 + x1)) * (0.952595 + (((x2 * x2) - -0.13468155) * -0.28010508)))"
